unit_name,registration_no,udyam_no,nature_of_industry,enterprise_type,product_activity,district,taluk,address,contact_person,phone,registration_date,commencement_date,gstin,pan,iec_code,has_iec,paid_up_capital,authorized_capital,employee_count,annual_turnover,export_turnover,import_turnover,bank_name,ad_code,years_in_business,mca_status,is_shell,related_party_txn_pct,turnover_capital_ratio,primary_port,hs_code_primary
Kurian Parikh and Chaudry,TN/MSME/pW/771292,UDYAM-TN-11-23-0356779,Handicraft,Micro,General Products,Tiruchirappalli,Tiruchirappalli Taluk,"442, Sahota Nagar, Satara 451199",Arin Rajan,+919454433771,2012-11-04,2012-12-21,33RXCPN0026R2Z8,RXCPN0026R,,False,685264,970886,8,1352138.0,0,87340,State Bank of India,922180,13,active,False,0.015331541477977306,1.9731636274486912,INMAA4,0901
Deo-Chadha,TN/MSME/XZ/920220,UDYAM-TN-07-23-0291477,Textile,Micro,Knitted Fabric,Tiruchirappalli,Tiruchirappalli Taluk,"H.No. 60, Merchant Path, Aligarh 248068",Leela Khanna,08859697676,2025-03-11,2025-03-16,33NZJAR2683G1ZC,NZJAR2683G,,False,282244,474202,5,836304.0,0,209270,Bank of Baroda,895027,1,active,False,0.053290605034128226,2.9630532447102507,INMAA4,6403
Prakash Chhabra and Rajan,TN/MSME/JJ/661240,UDYAM-TN-21-21-0687278,Leather,Micro,Leather Footwear,Thoothukudi,Thoothukudi Taluk,"58, Bhardwaj Ganj, Madanapalle 646791",Upkaar Dyal,8750719632,2017-09-21,2017-12-03,33MHYCW5687H1ZU,MHYCW5687H,,False,1126811,1970619,2,1157749.0,0,307272,Axis Bank,573047,8,active,False,0.021430738566309396,1.027456245989789,INTUT1,8471
Narayanan Lad and Pau,TN/MSME/tY/664651,UDYAM-TN-17-20-0713329,Handicraft,Small,General Products,Vellore,Vellore Taluk,"40, Virk, Shivpuri 198901",Mitesh Batta,01457436270,2012-06-30,2012-09-11,33FZNFC7811V6ZE,FZNFC7811V,,False,29303314,60982620,49,87625800.0,0,17920624,ICICI Bank,688906,13,active,False,0.04002377849288142,2.9903034175588465,INMAA4,6403
Batra Banik and Jhaveri,TN/MSME/qW/165805,UDYAM-TN-21-23-0020423,Agro-based Industry,Micro,General Products,Thanjavur,Thanjavur Taluk,"875, Sama Circle, Motihari-301214",Ekanta Sama,2895542693,2019-05-05,2019-08-27,33ZTNFD8266E4ZK,ZTNFD8266E,,False,113611,132675,9,317682.0,0,34593,Axis Bank,519474,6,struck_off,False,0.1210162207195693,2.796225717580164,INMAA4,8517
Dey Group,TN/MSME/UM/273512,UDYAM-TN-24-23-0943314,Leather,Micro,Finished Leather,Coimbatore,Coimbatore South,"H.No. 64, Gulati Road, Jhansi 586082",Yashawini Parikh,0540663490,2014-10-20,2015-02-06,33ZNDPV4528N2Z8,ZNDPV4528N,,False,2138391,3798560,4,4880604.0,0,177172,Union Bank of India,132918,11,active,False,0.050712834322118296,2.2823721199724467,INICJ4,8703
Ramaswamy-Biswas,TN/MSME/mQ/542797,UDYAM-TN-28-22-0444155,Leather,Micro,Leather Footwear,Krishnagiri,Krishnagiri Taluk,"27/80, Ratta Street, Ozhukarai-728012",Pallavi Mahal,04319653894,2021-03-16,2021-03-20,33BAICQ2621S6ZP,BAICQ2621S,,False,346934,560872,7,338616.0,0,87752,Indian Bank,648315,5,active,False,0.09801832323986874,0.9760242582162602,INMAA4,6403
Kurian LLC,TN/MSME/Lk/255684,UDYAM-TN-16-21-0426157,Engineering,Small,Castings,Tiruchirappalli,Tiruchirappalli Taluk,"H.No. 28, Dash Circle, Durg-567465",Anirudh Badal,05587876294,2014-11-26,2015-05-06,33ENDCF2294R1ZD,ENDCF2294R,,False,9832920,16995825,45,25467940.0,0,1633111,Indian Bank,415037,11,active,False,0.008795309995826839,2.5900688706915136,INMAA4,0901
Raval Ltd,TN/MSME/HY/783792,UDYAM-TN-05-21-0423390,Agro-based Industry,Micro,General Products,Chennai,Ambattur,"11/58, D’Alia, Rampur 702515",Ranbir Bhavsar,9649098258,2011-05-19,2011-06-04,33EHZAS7030P2ZD,EHZAS7030P,,False,2431061,2868238,2,6389694.0,0,1706599,Indian Bank,231032,14,active,False,0.08917787303001617,2.628356096371091,INNSA1,8703
Gera Wali and Setty,TN/MSME/JO/341230,UDYAM-TN-05-21-0387478,Handloom,Medium,General Products,Madurai,Thirumangalam,"H.No. 735, Sarkar Ganj, Rajkot-056231",Amara Dewan,06916010255,2021-11-02,2022-04-23,33GKRFJ4990T1ZE,GKRFJ4990T,,False,104830411,149643429,180,121917876.0,0,16026759,Indian Overseas Bank,300300,4,active,False,0.04537757144683348,1.1630010303021707,INMAA4,2601
